City Name,Total Population,Median Income,Gini Index,White Proportion (in %),Household Size,Agriculture Employement (in %)
Acalanes Ridge,1111,52175,0.3824,68.04680468,2.716381418,0
Acampo,666,26707,0.1878,100,4.826086957,8.159392789
Acton,7022,31414,0.3809,87.15465679,2.905254448,0.633293124
Adelanto,31376,17110,0.427,57.48980112,4.213240231,0.733724653
Adin,289,18640,0.3615,98.96193772,2.240310078,3.03030303
Agoura Hills,20488,47853,0.4295,83.59039438,2.800437397,0.833333333
Agua Dulce,3161,40893,0.3422,77.1274913,3.051158301,0.937274694
Aguanga,1119,26469,0.3854,89.81233244,2.670644391,0
Ahwahnee,1788,32191,0.4659,97.0917226,2.346456693,3.034682081
Airport,1859,14901,0.4481,88.05809575,3.34352518,4.72027972
Alameda,74818,38796,0.4658,48.49635115,2.511008189,0.171439286
Alamo,15672,65275,0.445,90.07784584,2.90652819,0.263273366
Albany,18769,43871,0.4481,56.14577228,2.595271018,0.155090285
Albion,263,11654,0.6236,76.04562738,2.307017544,11.11111111
Alderpoint,270,13071,0.2512,100,2.268907563,3.125
Alhambra,83799,24899,0.4343,26.85234907,2.85428659,0.276542022
Alhambra Valley,515,23281,0.402,94.17475728,2.384259259,0
Aliso Viejo,48805,52973,0.3643,69.33510911,2.62830524,0.148131689
Alleghany,135,11583,0.2612,100,2.934782609,
Allendale,1634,41402,0.3307,69.27784578,2.886925795,0
Allensworth,450,12353,0.3799,85.77777778,4.245283019,59.66386555
Almanor,10,,,100,1,
Alondra Park,8402,29802,0.4072,37.02689836,3.21669219,1.046979866
Alpaugh,872,15785,0.3717,86.81192661,3.824561404,38.43137255
Alpine,13717,33674,0.4638,86.4985055,2.625765697,1.409898664
Alpine Village,120,36250,0.3006,54.16666667,5,0
Alta,453,28125,0.3623,97.79249448,2.409574468,1.680672269
Altadena,45015,33258,0.4825,61.55281573,2.893366757,0.385490688
Alta Sierra,6872,31316,0.3737,93.94644936,2.472831954,1.612903226
Alto,714,19861,0.6297,87.95518207,2.170212766,0
Alturas,2762,20404,0.4503,88.88486604,2.213141026,10.42031524
Alum Rock,11353,24219,0.3608,40.2448692,4.306904401,0.623366177
Amador Water Agency,145,16250,0.5472,87.5862069,1.768292683,0
American Canyon,19656,33125,0.3837,44.56654457,3.513764748,0.663981713
Amesti,3314,22132,0.4124,87.74894387,3.506878307,12.98322392
Anaheim,340081,25284,0.4339,62.63743049,3.433219593,0.369648801
Anchor Bay,306,20272,0.3995,93.1372549,2.026490066,0
Anderson,10025,17446,0.4157,86.08478803,2.55609383,2.794520548
Angels,3788,25628,0.4641,94.53537487,2.059815117,0
Angwin,3324,11376,0.4161,70.18652226,4.029090909,3.213296399
Antelope Valley,47520,30604,0.3983,63.78787879,3.314963376,0.598918083
Antioch,104035,27171,0.4103,51.06742923,3.229195766,0.428642332
Anza,2599,22478,0.3655,82.26240862,2.635902637,7.22513089
Apple Valley town,69785,21647,0.4625,80.62907502,2.998667927,0.71757435
Aptos,5763,38953,0.4234,90.2134305,2.35801964,0
Aptos Hills-Larkin Valley,1812,33555,0.3557,96.35761589,2.52367688,0
Arbuckle,3276,19819,0.4071,69.41391941,3.722727273,26.57916325
Arcadia,56758,36899,0.4972,31.90034885,2.894782476,0.114107489
Arcata,17559,14014,0.4863,83.10268239,2.652416918,2.154195011
Arden-Arcade,91914,25657,0.5079,71.18284483,2.278652354,0.34957845
Armona,3778,18385,0.3322,64.3197459,3.898864809,14.61115475
Arnold,2515,29313,0.4506,92.48508946,1.975648075,1.871101871
Aromas,2684,31725,0.3731,79.1728763,2.949450549,10.35031847
Arroyo Grande,17411,30069,0.4155,86.73252542,2.486930439,2.307969708
Artesia,16605,21451,0.3938,38.94610057,3.646245059,0.261064147
Artois,228,31533,0.1131,100,3.619047619,14.44444444
Arvin,19665,15043,0.3839,83.12738368,4.400313269,52.57817929
Ashland,22900,25588,0.4182,47.9650655,3.124573612,0.105296409
Aspen Springs,25,,,100,2.083333333,0
Atascadero,28613,34100,0.414,89.22867228,2.596225388,1.2263938
Atherton town,6993,63676,0.5557,83.28328328,3.065760631,0.701754386
Atwater,28423,20428,0.4746,69.50357105,3.269266161,7.594681708
Auberry,2100,31429,0.3858,93.47619048,2.272727273,4.498269896
Auburn,13573,31841,0.4611,89.81802107,2.296615905,0.905349794
Auburn Lake Trails,3822,37385,0.316,98.0115123,2.670859539,0.500834725
August,7711,12873,0.4122,64.77759046,3.517791971,19.12650602
Avalon,3744,23386,0.4535,87.5534188,3.034035656,1.803607214
Avenal,15001,15155,0.4181,61.68922072,5.500916758,53.52216749
Avery,629,16091,0.464,100,1.984227129,0
Avilla Beach,1218,36111,0.3945,93.10344828,1.663934426,4.658385093
Avocado Heights,14687,26547,0.3948,48.05610404,3.904040404,0.369970711
Azusa,46843,19126,0.4215,43.88702688,3.940028598,1.088027013
Baker,837,17760,0.4487,51.85185185,3.375,0
Bakersfield,352918,24605,0.4458,65.51975246,3.210330022,10.30289646
Baldwin Park,75933,19429,0.3854,37.0326472,4.404466357,1.164961061
Ballard,353,54167,0.5217,95.75070822,2.468531469,7.207207207
Ballico,353,20500,0.4195,73.93767705,2.917355372,7.189542484
Bangor,578,21359,0.3295,89.61937716,2.627272727,10.6741573
Banning,29968,21736,0.406,72.28043246,2.44776607,0.716960942
Barstow,22909,21745,0.4358,63.02326597,2.837730707,1.03682517
Bass Lake,699,24107,0.5259,97.99713877,2.345637584,5.62248996
Bay Point,21582,20669,0.4269,52.45111667,3.384350008,0.766064487
Bayview CDP (Contra Costa County),2287,38644,0.2936,62.43987757,3.221126761,1.420765027
Humboldt Bay,2523,18408,0.5725,87.19778042,2.389204545,0
Beale AFB,1486,26233,0.369,70.52489906,3.733668342,0
Bear Gulch,138,13750,0.4191,61.5942029,2.936170213,0
Bear Valley CDP (Alpine County),65,22917,0.29,86.15384615,2.6,0
Bear Valley CDP (Mariposa County),187,22143,0.4425,100,2.226190476,42.30769231
Bear Valley Springs,5271,46006,0.34,89.31891482,2.595273264,5.77689243
Beaumont,38143,36132,0.3836,66.85630391,3.123147466,0.451711414
Beckwourth,362,40446,0.4149,87.01657459,1.905263158,0
Belden,52,,0.1037,59.61538462,1.405405405,
Bell,35704,17104,0.3876,65.13275823,3.922654362,1.576543392
Bella Vista,2611,20771,0.3285,92.99119111,2.872387239,0
Bell Canyon,2185,60787,0.3409,85.03432494,3.005502063,0
Bellflower,76989,24067,0.4319,39.44979153,3.274873453,0.731362547
Bell Gardens,42462,17124,0.3897,68.13386086,4.329323002,1.453452717
Belmont,26200,51364,0.4379,66.24427481,2.509818948,0.223455633
Belvedere,1901,81875,0.5673,91.68858496,2.12639821,0.88365243
Benbow,442,39750,0.2846,83.03167421,2.569767442,0
Bend,669,32125,0.4246,95.51569507,2.515037594,1.094890511
Benicia,27225,43553,0.4103,73.68962351,2.544630339,1.938013167
Ben Lomond,6192,39242,0.376,93.41085271,2.56610029,1.826484018
Benton,143,15625,0.4049,73.42657343,1.288288288,2.43902439
Berkeley,114037,30743,0.5363,62.36046196,2.510556326,0.361692939
Bermuda Dunes,7351,28683,0.513,83.22677187,2.651875902,0.907759883
Berry Creek,1232,23359,0.3866,84.57792208,2.172839506,9.635416667
Bertsch-Oceanview,2624,18234,0.4825,80.41158537,3.112692764,1.438848921
Bethel Island,2172,22641,0.5005,92.77163904,1.979945305,1.531393568
Beverly Hills,34341,48304,0.6215,83.5182435,2.364919771,0.04200168
Bieber,218,21042,0.3644,90.82568807,2.831168831,35.48387097
Big Bear City,12147,20275,0.4459,88.76265745,2.502472188,2.712477396
Big Bear Lake,5080,20464,0.5186,81.77165354,2.34209313,0.996852046
Big Bend,97,17054,0.4066,88.65979381,1.732142857,33.33333333
Big Creek,243,38750,0.2616,79.01234568,2.454545455,1.612903226
Biggs,1827,18457,0.4452,63.6562671,3.205263158,13.89776358
Big Lagoon,136,44375,0.3566,47.05882353,2.092307692,0
Big Pine,1611,27059,0.3813,75.29484792,2.452054795,1.375
Big River,1121,17405,0.4993,85.99464764,1.84375,0
Biola,829,12143,0.3986,63.32931242,3.966507177,27.23214286
Bishop,3856,23221,0.4731,85.55497925,2.253652835,4.022121669
Blackhawk,9263,81961,0.4129,69.15686063,2.645815481,0.412621359
Blacklake,915,27005,0.46,98.90710383,2.168246446,0
Black Point-Green Point,1042,54870,0.4988,95.20153551,2.44028103,0
Blairsden,26,71250,0.449,100,1.625,0
Bloomfield,250,40927,0.3136,95.2,2.252252252,3.2
Bloomington,25062,18306,0.3857,62.6566116,4.488180516,1.067106711
Blue Lake,1412,23750,0.4366,83.28611898,2.619666048,6.174496644
Bluewater,192,21800,0.3582,100,1.641025641,0
Blythe,20405,14276,0.4548,62.67091399,4.023067823,6.021126761
Bodega,118,27647,0.4423,100,1.311111111,17.39130435
Bodega Bay,516,35515,0.3876,98.8372093,1.836298932,0
Bodfish,2095,13848,0.5058,92.98329356,1.922018349,0
Bolinas,1133,29338,0.5246,93.29214475,2.540358744,3.703703704
Bombay Beach,298,11519,0.4108,98.65771812,2.055172414,44.23076923
Bonadelle Ranchos-Madera Ranchos,7994,32160,0.3699,88.37878409,3.067536454,3.977900552
Bonita,13609,34354,0.4316,74.72995812,2.996257155,0.201986198
Bonny Doon,2765,39079,0.4015,91.68173599,2.651006711,2.015838733
Bonsall,4074,33594,0.4753,77.24594993,2.685563612,6.713589605
Boonville,1126,16155,0.3756,75.04440497,2.794044665,35.20599251
Bootjack,972,23750,0.4042,92.59259259,2.473282443,0
Boron,2316,19637,0.4213,77.33160622,2.68989547,22.69372694
Boronda,1475,25625,0.4189,74.37288136,3.678304239,8.118811881
Borrego Springs,2416,19397,0.3993,83.52649007,2.178539225,15.8110883
Bostonia,15326,23370,0.4104,75.66879812,2.942780338,0.44970769
Boulder Creek,5149,32475,0.4051,94.32899592,2.358680715,1.44431775
Boulevard,319,28235,0.4348,38.55799373,2.362962963,0
Bowles,101,16630,0.3445,72.27722772,4.391304348,38.46153846
Boyes Hot Springs,7554,22585,0.455,74.33148001,3.156707062,8.520648197
Bradbury,924,48889,0.5332,58.44155844,2.869565217,1.481481481
Bradley,110,24750,0.3479,75.45454545,2.682926829,13.51351351
Brawley,25191,19863,0.5003,82.12059863,3.33302461,10.01741149
Brea,39843,36997,0.3964,71.67883944,2.825544288,0.53841896
Brentwood,52494,39826,0.3813,75.62769078,3.179527559,1.561474872
Bret Harte,4941,15987,0.3955,60.85812589,4.063322368,17.62322755
Bridgeport,549,31324,0.3528,55.55555556,2.326271186,0
Brisbane,4330,38929,0.4421,57.62124711,2.227366255,0
Broadmoor,4351,32208,0.4162,33.1647897,2.92405914,0
Brookdale,1895,55212,0.4469,96.62269129,2.12206047,0
Brooktrails,2948,26322,0.4347,94.47082768,2.38897893,0.847457627
Buckhorn,2608,31375,0.3577,93.05981595,2.071485306,4.005167959
Buck Meadows,8,,,0,2,0
Bucks Lake,0,,,,,
Buellton,4862,27781,0.4319,73.81735911,2.77353109,2.313990744
Buena Park,81522,26122,0.3971,57.53293589,3.542432538,0.778816199
Buena Vista,249,23798,0.2321,76.30522088,2.929411765,0
Burbank,103850,32612,0.4362,75.11892152,2.528855988,0.149265012
Burbank,5704,26532,0.4269,58.81837307,2.684235294,0
Burlingame,29237,48551,0.5051,68.9947669,2.396671858,0.231145159
Burney,2998,19614,0.3859,91.22748499,2.306153846,7.922535211
Burnt Ranch,233,19917,0.4775,96.56652361,2.478723404,5.555555556
Butte Creek Canyon,851,29605,0.4986,96.94477086,2.026190476,4.333333333
Butte Meadows,32,,,100,1.882352941,
Butte Valley,768,42961,0.3798,96.74479167,2.612244898,5.844155844
Buttonwillow,1379,15350,0.4146,79.40536621,3.841225627,32.11382114
Byron,1233,29543,0.3736,94.48499594,3.296791444,0
Bystrom,3649,13954,0.4441,66.64839682,3.148403796,9.053497942
Cabazon,2699,18636,0.2812,53.13078918,3.478092784,0
Calabasas,23629,57879,0.4985,82.90659782,2.71816404,0.055396547
Calexico,38768,14479,0.4612,64.44232357,4.083851259,9.696969697
California City,13333,21094,0.4165,66.64666617,2.815839493,3.134432319
California Hot Springs,119,16250,0.2963,99.15966387,2.531914894,20.83333333
California Pines,232,22325,0.2885,55.17241379,2.761904762,0
Calimesa,8021,23111,0.4106,90.8116195,2.434294385,0.570469799
Calipatria,7574,11659,0.4472,67.79772907,4.652334152,20.17276423
Calistoga,5204,30142,0.4828,92.33282091,2.516441006,16.77695601
Callender,1849,30495,0.3801,90.85992428,3.081666667,25.49019608
Calpella,485,27212,0.379,83.91752577,2.99382716,0
Calpine,180,17123,0.4599,100,2.068965517,0
Calwa,1479,8613,0.4831,42.79918864,3.892105263,52.17391304
Camanche North Shore,753,29355,0.3189,92.56308101,2.436893204,0
Camanche Village,1001,38966,0.2433,96.3036963,2.835694051,1.40562249
Camarillo,65476,37774,0.4192,73.95076058,2.77440678,1.312676239
Cambria,6150,34595,0.4567,91.2195122,2.185501066,1.911346076
Cambrian Park,3273,44322,0.3793,77.11579591,2.759696459,0
Cameron Park,18258,36818,0.3921,93.20845657,2.643022583,0.790025923
Camino,1861,31908,0.4115,98.22675981,2.521680217,4.431818182
Camino Tassajara,2106,75605,0.4339,39.88603989,3.181268882,0
Campbell,39856,42411,0.425,71.39452027,2.476604735,0.686850429
Camp Nelson,100,62054,0.3012,100,2,0
Campo,3229,22959,0.4759,86.52833695,3.209741551,1.806684734
Camp Pendleton North,6330,21982,0.4576,65.8135861,5.043824701,0
Camp Pendleton South,13950,26784,0.2932,63.3046595,4.280454127,0
Camptonville,168,17625,0.4478,83.92857143,2.074074074,15.38461538
Canby,570,10865,0.3322,74.21052632,6.785714286,0
Cantua Creek,394,18304,0.29,87.05583756,3.648148148,60.21505376
Canyondam,0,,,,,
Canyon Lake,10712,37710,0.388,93.54929052,2.707785642,0.6496228
Capitola,9982,31854,0.4707,82.07773993,2.317084494,0.694846555
Caribou,0,,,,,
Carlsbad,107307,42563,0.4589,85.02613995,2.548738777,0.448673804
Carmel-by-the-Sea,3769,45404,0.4595,87.74210666,2.224911452,0.823610158
Carmel Valley Village,4325,39699,0.4918,89.71098266,2.485632184,2.236719478
Carmet,26,,,100,2.363636364,
Carmichael,61659,29668,0.473,81.58419695,2.407238229,0.481007826
Carnelian Bay,416,33100,0.3506,100,2.155440415,2.732240437
Carpinteria,13184,31123,0.4481,78.17809466,2.583578287,4.518158422
Carrick,112,9653,0.1657,100,2.24,0
Carson,91994,26037,0.3746,31.28791008,3.679612815,0.406445057
Cartago,39,43466,0.1476,100,1.147058824,0
Caruthers,3481,17189,0.3479,44.12525136,4.64753004,27.60351317
Casa Conejo,3639,24583,0.375,80.2143446,3.871276596,1.186440678
Casa de Oro-Mount Helix,19636,32657,0.4598,83.32654308,2.784853212,0.304414003
Casmalia,94,26406,0.2468,100,3.24137931,0
Caspar,460,23265,0.3965,88.26086957,2.12962963,0
Cassel,547,17500,0.3485,100,3.038888889,13.85542169
Castaic Lake Water Agency Santa Clarita Water Division,18415,44000,0.3564,72.03366821,3.21884286,0.285623612
Castle Hill,1223,51853,0.4484,85.77269011,2.792237443,0
Castro Valley,61637,40590,0.4131,60.62267794,2.778193455,0.14973626
Castroville,5967,17929,0.3553,72.64957265,4.305194805,27.5374376
Cathedral City,51942,21487,0.4367,75.10107428,3.121702025,0.461862082
Catheys Valley,848,25538,0.3313,86.08490566,2.554216867,3.519061584
Cayucos,2475,28086,0.4525,95.31313131,1.964285714,0
Cazadero,321,26591,0.3889,89.40809969,2.213793103,0
Cedar Ridge,1101,32273,0.4343,94.27792916,2.377969762,0
Cedar Slope,0,,,,,
Cedarville,437,23563,0.3907,94.05034325,1.813278008,18.47826087
Centerville,344,30605,0.5318,94.47674419,2.474820144,6.976744186
Ceres,46022,19722,0.4621,70.19903524,3.471524478,3.93608074
Cerritos,49345,36365,0.392,23.15736143,3.273083046,0.146614537
Chalfant,579,35962,0.3117,100,2.075268817,10.15037594
Challenge-Brownsville,920,17783,0.2942,82.2826087,2.371134021,2.747252747
Channel Islands Beach,2906,40598,0.5283,89.91741225,2.214939024,3.143189756
Charter Oak,9718,30364,0.3693,64.75612266,3.222148541,0
Cherokee,85,37212,0.2379,82.35294118,2.931034483,0
Cherokee Strip,357,12250,0.2315,78.71148459,5.173913043,32.25806452
Cherryland,14873,23903,0.4345,53.08276743,3.383303003,0
Cherry Valley,6012,27043,0.4201,86.46041251,2.4048,1.790393013
Chester,1908,22821,0.3538,99.31865828,2.141414141,19.52662722
Chico,86833,21151,0.4595,82.87747746,2.56978396,2.123509222
Chilcoot-Vinton,233,19868,0.2928,100,2.219047619,0
China Lake Acres,1503,16304,0.5336,90.08649368,2.233283804,1.985559567
Chinese Camp,94,19861,0.4123,90.42553191,2,9.090909091
Chino,79342,27438,0.3968,60.55052809,3.783595613,0.583880094
Chino Hills,75551,40100,0.3816,54.67432595,3.321945214,0.261922951
Chowchilla,18296,16900,0.4415,66.56099694,4.473349633,13.77442901
Chualar,1237,20994,0.3155,85.61034762,4.547794118,41.69491525
Chula Vista,248048,30240,0.4146,68.1779333,3.272444228,0.159373956
Citrus,11134,22831,0.3573,47.31453206,4.120651369,0.64596791
Citrus Heights,84218,26574,0.3879,82.03590681,2.583929065,0.380878352
Claremont,35252,31009,0.4319,69.44286849,3.070999216,0.405719987
Clarksburg,458,31275,0.4518,81.87772926,2.234146341,0
Clay,1073,42250,0.3408,76.42124884,2.988857939,4.389312977
Clayton,11137,52121,0.3789,87.3664362,2.815217391,0.611620795
Clear Creek,192,22386,0.541,94.79166667,2.064516129,0
Clearlake,15127,15469,0.4558,73.78858994,2.218685832,5.08121616
Clearlake Oaks,1456,13885,0.4587,85.98901099,1.852417303,0
Clearlake Riviera,2801,29947,0.4187,94.43056051,2.489777778,0
Cleone,593,26979,0.4713,100,2.671171171,6.995884774
Clio,35,,0.3225,54.28571429,1,0
Clipper Mills,0,,,,,
Cloverdale,8626,31884,0.3626,77.88082541,2.663167644,7.996934083
Clovis,97100,29642,0.429,70.39855819,2.940909229,1.41056137
Clyde,576,22027,0.3621,60.06944444,2.493506494,3.260869565
Coachella Valley,41625,17222,0.392,41.53273273,4.505845421,10.67130249
Coalinga,16609,24142,0.4477,62.50827864,3.498104465,12.22927862
Coarsegold,1185,24051,0.5873,95.78059072,1.945812808,0
Cobb,1454,34754,0.3692,92.15955983,2.748582231,7.948243993
Coffee Creek,149,28125,0.3489,93.95973154,2.525423729,0
Cohasset,911,20909,0.355,98.79253568,2.829192547,5.274725275
Cold Springs CDP (El Dorado County),552,20096,0.4187,89.13043478,2.431718062,0
Cold Springs CDP (Tuolumne County),163,33333,0.2897,94.47852761,1.381355932,0
Coleville,335,36250,0.2587,89.25373134,3.19047619,0
Colfax,2183,25045,0.4094,96.88502061,2.354908306,0
College City,159,17007,0.2292,100,4.818181818,18.96551724
Collierville,2124,29234,0.4432,93.83239171,3.22306525,4.938271605
Colma town,1745,31581,0.3518,26.76217765,3.752688172,0
Coloma,660,30759,0.2329,92.27272727,2.453531599,0
Colton,52650,19630,0.4226,56.73694207,3.560319178,0.630717381
Columbia,2309,18380,0.3478,82.02685145,2.526258206,2.160493827
Colusa,5956,24596,0.4078,71.23908664,2.761242466,17.8802589
Commerce,12896,19279,0.4162,68.19168734,3.826706231,0.756800982
Comptche,83,21172,0.3956,100,1.66,12.12121212
Compton,97040,17680,0.4136,35.68837593,4.1775367,0.710464247
Concord,123658,31227,0.4205,69.67038121,2.755425821,0.322542712
Concow,423,22841,0.4807,86.99763593,1.922727273,0
Contra Costa Centre,5461,55353,0.407,67.22212049,1.727617842,0
Copperopolis,4088,35408,0.4128,92.66144814,2.566227244,0
Corcoran,24043,16613,0.4421,64.98773032,6.838168373,21.99261993
Corning,7619,18718,0.3906,84.6567791,3.152254861,7.827059262
Corona,155227,31445,0.3973,69.80486642,3.496103604,0.52473981
Coronado,22710,43555,0.4582,88.30911493,2.705826284,0.197472354
Coronita,3237,31462,0.4145,71.30058696,3.608695652,0
Corralitos,2460,35102,0.3662,83.04878049,2.736373749,6.202209006
Corte Madera town,9326,53467,0.4847,79.70190864,2.385776413,0.133898683
Costa Mesa,110871,31886,0.4535,67.08426911,2.731620183,0.322170271
Cotati,7304,34051,0.4187,82.03723987,2.430615641,2.46395806
Coto de Caza,14964,62612,0.4313,87.22935044,3.089820359,0
Cottonwood,3913,18940,0.4483,80.78200869,3.11544586,4.370179949
Coultervillle,210,18409,0.4122,100,1.75,0
Country Club,9915,22486,0.3957,68.92586989,2.677558736,1.320754717
Courtland,412,37778,0.4154,66.26213592,4.681818182,0
Covelo,1468,14485,0.3455,62.73841962,2.607460036,24.88372093
Covina,48098,29853,0.3908,53.65919581,3.153967213,0.171328024
Cowan,512,21250,0.3462,59.9609375,3.631205674,0
Crescent City,7470,15940,0.4531,66.35876841,4.15461624,2.659574468
Crescent Mills,233,23500,0.1583,66.52360515,3.328571429,0
Cressey,309,17438,0.5395,79.28802589,3.433333333,23.94366197
Crest,2119,38221,0.3572,91.83577159,2.263888889,0
Crestline,9058,25885,0.4472,87.71251932,2.441509434,1.147342995
Creston,94,29643,0.3574,76.59574468,2.540540541,45.83333333
C-Road,170,20272,0.2441,93.52941176,2.615384615,0
Crockett,3121,41750,0.4013,85.9019545,2.242097701,0
Cromberg,135,16944,0.5321,100,1.569767442,0
Crowley Lake,737,37174,0.3561,100,2.161290323,0
Crows Landing,203,15550,0.3849,100,2.280898876,0
Cudahy,23931,17426,0.3874,62.14951318,4.279506438,0.692231623
Culver City,39105,42947,0.4432,64.55696203,2.35501355,0.632697416
Cupertino,59080,69274,0.404,32.43398781,2.882794964,0
Cutler,4169,14784,0.4524,84.02494603,4.284686536,28.87788779
Cutten,2945,27740,0.4138,86.58743633,2.143377001,4.395604396
Cuyama,55,26071,0.2883,92.72727273,4.230769231,33.33333333
Cypress,48358,34803,0.3851,57.95938624,3.046557047,0.612042584
Daly City,102605,30523,0.3907,24.49393304,3.285883559,0.268807168
Dana Point,33652,41339,0.4529,87.76892904,2.328858131,0.642154913
Danville town,42476,61315,0.4328,82.25586213,2.747832837,0.528563801
