Supplier.Name,SPEI_3YEARS,SPI_3YEARS
East Bay Municipal Utilities District,-2.515306782,-2.230197237
Morro Bay  City of,-2.815716425,-2.095104494
Yorba Linda Water District,-2.363619585,-1.789670491
California City  City of,-2.142533561,-1.609355416
Long Beach  City of,-2.448243903,-1.792906715
"Los Banos, City of",-2.418834899,-2.098116198
Turlock  City of,-2.117577287,-1.41041959
Jurupa Community Service District,-2.515306782,-2.230197237
Coastside County Water District,-2.515306782,-2.230197237
Citrus Heights Water District,-2.515306782,-2.230197237
Burlingame  City of,-2.180858372,-1.381890159
Orange Vale Water Company,-2.515306782,-2.230197237
Dublin San Ramon Services District,-2.515306782,-2.230197237
Los Angeles Department of Water and Power,-2.388762303,-1.921825251
Camrosa Water District,-2.515306782,-2.230197237
El Dorado Irrigation District,-2.515306782,-2.230197237
El Centro  City of,-2.170838137,-0.43802874
Milpitas  City of,-1.983804514,-1.252839323
Santa Rosa  City of,-1.925844079,-1.347777987
Westminster  City of,-2.466295745,-1.860684829
Poway  City of,-2.196009821,-1.563827708
Mid-Peninsula Water District,-2.515306782,-2.230197237
Olivenhain Municipal Water District,-2.515306782,-2.230197237
San Diego  City of,-2.336902336,-1.590376001
Daly City  City of,-1.946267803,-1.32609822
San Lorenzo Valley Water District,-2.515306782,-2.230197237
Delano  City of,-1.918495788,-1.350945623
Anaheim  City of,-2.491475993,-1.866143132
South Tahoe Public Utilities District,-2.515306782,-2.230197237
Elsinore Valley Municipal Water District,-2.515306782,-2.230197237
Coachella Valley Water District,-2.515306782,-2.230197237
Lake Hemet Municipal Water District,-2.065355033,-1.357594615
Carmichael Water District,-2.515306782,-2.230197237
Monte Vista Water District,-2.515306782,-2.230197237
Pleasanton  City of,-2.127730589,-1.164216068
Santa Monica  City of,-1.903519614,-1.353656808
Riverside  City of,-2.14917764,-1.45968442
Contra Costa Water District,-1.82314387,-1.117745679
"Imperial, City of",-1.962934437,-1.297673777
California Water Service Company Antelope Valley,-2.515306782,-2.230197237
Irvine Ranch Water District,-2.569910931,-1.788060567
Watsonville  City of,-2.352527068,-1.708349601
San Jose  City of,-2.014225317,-1.370569912
Dinuba  City of,-2.56733422,-2.293447013
Casitas Municipal Water District,-2.515306782,-2.230197237
Sacramento Suburban Water District,-2.515306782,-2.230197237
San Jose Water Company,-2.515306782,-2.230197237
Rowland Water District,-2.515306782,-2.230197237
Folsom  City of,-1.995910059,-1.294764184
Chino  City of,-2.427716438,-1.880812974
Hi-Desert Water District,-2.515306782,-2.230197237
"Soledad, City of",-2.686737631,-2.181553522
North Marin Water District,-2.515306782,-2.230197237
Marin Municipal Water District,-2.515306782,-2.230197237
Shafter  City of,-2.664438608,-2.229470012
"Windsor, Town of",-2.414756954,-1.831758185
Indian Wells Valley Water District,-2.515306782,-2.230197237
San Francisco Public Utilities Commission,-1.948506564,-1.311914217
Brawley  City of,-2.634647825,-2.419735027
Ontario  City of,-2.369431374,-1.744485155
Huntington Beach  City of,-2.549914043,-1.899915079
Calaveras County Water District,-2.369646108,-2.057638414
Humboldt Bay Municipal Water District,-2.515306782,-2.230197237
Santa Maria  City of,-2.794407421,-2.152265737
Yuba City  City of,-1.954963017,-1.009896747
Escondido  City of,-1.86877242,-1.299758155
Los Angeles County Public Works Waterworks District 29,-2.515306782,-2.230197237
Placer County Water Agency,-2.515306782,-2.230197237
Corona  City of,-1.91941358,-1.373910855
Burbank  City of,-2.415219341,-1.973004617
Camarillo  City of,-2.517279735,-1.910993482
Blythe  City of,-1.691342916,-0.402643351
Roseville  City of,-1.993084197,-1.57204838
Vista Irrigation District,-2.532877541,-2.393164863
West Valley Water District,-2.036978843,-1.376648946
Napa  City of,-1.836368649,-1.203644617
Mission Springs Water District,-2.515306782,-2.230197237
Los Angeles County Public Works Waterworks District 40,-2.515306782,-2.230197237
Nevada Irrigation District,-2.515306782,-2.230197237
Alameda County Water District,-2.515306782,-2.230197237
Hawthorne  City of,-2.447432425,-1.827768786
Nipomo Community Services District,-2.515306782,-2.230197237
Rancho California Water District,-2.515306782,-2.230197237
Rainbow Municipal Water District,-2.515306782,-2.230197237
Oceanside  City of,-1.923634041,-1.329900694
Western Municipal Water District of Riverside,-2.007324958,-1.410734929
Tahoe City Public Utilities District,-2.515306782,-2.230197237
Calexico  City of,-2.036386216,-0.358683059
Lompoc  City of,-2.368207331,-2.131905527
California Water Service Company Bakersfield,-2.515306782,-2.230197237
Amador Water Agency,-2.515306782,-2.230197237
California Water Service Company Oroville,-2.515306782,-2.230197237
Trabuco Canyon Water District,-2.515306782,-2.230197237
Otay Water District,-2.515306782,-2.230197237
Truckee-Donner Public Utilities District,-2.515306782,-2.230197237
"Modesto, City of",-2.21332704,-1.492916013
Joshua Basin Water District,-2.515306782,-2.230197237
Santa Barbara  City of,-2.502513646,-1.890169509
Tuolumne Utilities District,-2.515306782,-2.230197237
Sacramento County Water Agency,-2.515306782,-2.230197237
San Buenaventura  City of,-2.493688847,-1.949824642
Elk Grove Water Service,-2.515306782,-2.230197237
Newhall County Water District,-2.515306782,-2.230197237
Valencia Water Company,-2.515306782,-2.230197237
Castaic Lake Water Agency Santa Clarita Water Division,-2.515306782,-2.230197237
California Water Service Company East Los Angeles,-2.612519273,-1.952170159
Exeter  City of,-1.980956178,-1.07123452
"Rio Vista, city of",-2.249706454,-1.452244863
Sweetwater Springs Water District,-2.515306782,-2.230197237
California Water Service Company Visalia,-2.515306782,-2.230197237
California Water Service Company Selma,-2.515306782,-2.230197237
California Water Service Company Chico District,-2.515306782,-2.230197237
Soquel Creek Water District,-2.515306782,-2.230197237
East Valley Water District,-2.036978843,-1.376648946
California Water Service Company Bear Gulch,-2.515306782,-2.230197237
Buena Park  City of,-2.114484897,-1.835614524
South Gate  City of,-2.449673571,-1.868982788
Hillsborough  Town of,-2.175009357,-1.370714264
"California Water Service Company Dixon, City of",-2.515306782,-2.230197237
Redlands  City of,-1.994248305,-1.370815875
San Juan Water District,-2.515306782,-2.230197237
Fountain Valley  City of,-2.515664207,-1.87716596
California Water Service Company Dominguez,-2.515306782,-2.230197237
Hayward  City of,-2.02317171,-1.563020131
California Water Service Company Hermosa/Redondo,-2.515306782,-2.230197237
California Water Service Company King City,-2.515306782,-2.230197237
Yucaipa Valley Water District,-2.06096585,-1.500901572
San Bernardino  City of,-2.127733033,-1.492019484
Sacramento  City of,-1.993237047,-1.292135067
California Water Service Company Kern River Valley,-2.515306782,-2.230197237
California Water Service Company Los Altos/Suburban,-2.515306782,-2.230197237
Hanford  City of,-2.451460326,-2.156432638
California Water Service Company Livermore,-2.515306782,-2.230197237
West Kern Water District,-2.448096407,-1.88233716
Paso Robles  City of,-2.607522044,-1.951649451
Pismo Beach  City of,-2.653207966,-2.330783755
California Water Service Company Marysville,-2.515306782,-2.230197237
Madera  City of,-1.971642387,-1.317458263
Hemet  City of,-2.059120099,-1.268863058
California Water Service Company Mid Peninsula,-2.515306782,-2.230197237
California Water Service Company Palos Verdes,-2.612519273,-1.952170159
"Colton, City of",-1.940198357,-1.318344145
California Water Service Company Redwood Valley,-2.515306782,-2.230197237
Brea  City of,-2.492902989,-1.907688773
California Water Service Company Salinas District,-2.515306782,-2.230197237
Wasco  City of,-2.848507171,-2.184706129
California Water Service Company South San Francisco,-2.515306782,-2.230197237
"Tulare, City of",-2.523014834,-2.131197127
California Water Service Company Stockton,-2.515306782,-2.230197237
California Water Service Company Willows,-2.515306782,-2.230197237
California Water Service Company Westlake,-2.515306782,-2.230197237
"East Palo Alto, City of",-2.258146126,-1.439375437
Banning  City of,-2.072091137,-1.68009949
Benicia  City of,-1.875231267,-1.166200225
Westborough Water District,-2.515306782,-2.230197237
Woodland  City of,-2.245543498,-1.533464454
Mountain View  City of,-2.092300394,-1.152060148
