Town,Population,Income,Gini,Race,HouseholdSize,AgricultureEmployment,Liters,LitersCapita,TotalPopulationServed
Morro Bay,10322,28758,0.417,94.51656656,2.061513881,1.252052545,123324973.9,12050.51533,10234
Yorba Linda,65425,48245,0.419,76.02139855,2.990173675,0.699543091,1702166030,23478.15214,72500
California City,13333,21094,0.4165,66.64666617,2.815839493,3.134432319,547912020.2,38803.96744,14120
Long Beach,465424,25497,0.4756,52.77531885,2.840323929,0.481786684,5729516735,12086.4406,474045
Los Banos,36219,19803,0.4369,79.05795301,3.567671395,6.673926571,926642490.5,24931.19055,37168
Turlock,69185,22970,0.4354,80.0332442,2.970078132,5.531691985,2256900807,31706.50605,71181
Citrus Heights,84218,26574,0.3879,82.03590681,2.583929065,0.380878352,1465374786,21763.09961,67333
Burlingame,29237,48551,0.5051,68.9947669,2.396671858,0.231145159,418896143.4,13833.17295,30282
Los Angeles,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,56128294838,13988.32871,4012509
El Centro,42888,18229,0.4845,65.21637754,3.318220503,6.563513851,914071135.5,20628.53773,44311
Milpitas,67695,34266,0.3992,21.13597755,3.465318659,0.166352793,967709356,13664.93012,70817
Santa Rosa,169005,28726,0.4322,76.54093074,2.692663108,2.477223482,2030036495,11873.36376,170974
Westminster,90625,21469,0.4498,37.76993103,3.342122732,0.433477826,1339806475,14356.81271,93322
Poway,48547,38851,0.4263,77.87298906,3.034377149,0.246808511,1186719215,24330.97994,48774
San Diego,1322838,30992,0.4684,64.77240599,2.775858198,0.337648804,19005713619,14460.8219,1314290
Daly City,102605,30523,0.3907,24.49393304,3.285883559,0.268807168,723006450.3,6833.063513,105810
Delano,52792,13989,0.4156,65.82815578,5.012533232,37.67565515,1078759293,19860.0702,54318
Anaheim,340081,25284,0.4339,62.63743049,3.433219593,0.369648801,6331455200,17580.44105,360142
Carmichael,61659,29668,0.473,81.58419695,2.407238229,0.481007826,1073845828,27998.2747,38354
Pleasanton,71488,52312,0.4178,65.95512534,2.871695991,0.103455411,1619815878,22168.91179,73067
Santa Monica,90752,44936,0.5216,78.57347496,1.954219514,0.095122966,1312023984,14064.98488,93283
Riverside,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,7368812266,24606.42497,299467
Imperial,15205,29911,0.3633,80.42091417,3.337357331,2.992151733,322607997.8,17900.7878,18022
Watsonville,51544,18435,0.4286,68.18446376,3.736968027,22.62229496,858787608.1,13063.59403,65739
San Jose,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,1968414518,16741.63535,117576
Sacramento,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,4002396166,22899.09927,174784
San Jose,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,12681889072,12809.98896,990000
Folsom,72424,44066,0.3726,71.04965205,2.934046346,0.134207241,2416388221,38127.81211,63376
Chino,79342,27438,0.3968,60.55052809,3.783595613,0.583880094,1581050584,20250.92649,78073
Soledad,26039,18492,0.3997,70.23311187,6.897748344,32.34970962,249757355.1,14929.60458,16729
Shafter,17088,19343,0.4136,79.55290262,3.704313896,34.04433994,586738942.8,30719.31638,19100
San Francisco,817501,37098,0.5157,50.34379163,2.36720777,0.219111515,8093969081,9560.547508,846601
Brawley,25191,19863,0.5003,82.12059863,3.33302461,10.01741149,699165695.1,25201.51732,27743
Ontario,165702,22336,0.3854,58.00111043,3.660304838,1.191626409,3656036083,21661.9331,168777
Huntington Beach,193197,38709,0.4467,77.75741859,2.605278062,0.473875816,2888687889,14735.12117,196041
Santa Maria,100152,19913,0.4333,70.01258088,3.663606102,27.50287958,1439471696,14100.44077,102087
Yuba City,64911,22499,0.4582,62.79983362,3.001942376,6.759669266,1741744015,25471.91411,68379
Escondido,145859,24553,0.4587,81.66174182,3.284298935,3.21262528,2196828699,16387.76229,134053
Corona,155227,31445,0.3973,69.80486642,3.496103604,0.52473981,3696938295,21996.41991,168070
Burbank,103850,32612,0.4362,75.11892152,2.528855988,0.149265012,1711454138,16133.0091,106084
Burbank,5704,26532,0.4269,58.81837307,2.684235294,0,1711454138,16133.0091,106084
Camarillo,65476,37774,0.4192,73.95076058,2.77440678,1.312676239,927577305.7,19659.14218,47183
Blythe,20405,14276,0.4548,62.67091399,4.023067823,6.021126761,401632269.9,29021.76963,13839
Roseville,122039,35811,0.4096,79.58193692,2.70350679,0.095624303,3340265085,27168.55436,122946
Vista,95066,25971,0.4296,81.93255212,3.115079625,3.351216659,1952599568,15652.60263,124746
Napa,77698,30698,0.4236,83.82969961,2.719756371,6.08970073,1567753664,18218.88955,86051
Los Angeles,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,5732316736,27666.82306,207191
Alameda,74818,38796,0.4658,48.49635115,2.511008189,0.171439286,4387293127,12680.03794,346000
Hawthorne,85092,24829,0.4305,46.1958821,2.973269506,0.205771771,443436225.3,9958.592914,44528
Nipomo,17256,26844,0.4167,83.32174316,3.028431028,4.567901235,223136615.2,17833.80876,12512
Rainbow,1828,23626,0.4448,79.15754923,2.753012048,13.15789474,2537269306,130149.7464,19495
Oceanside,169407,28139,0.427,66.6005537,2.87403298,1.696409199,2937533715,17160.19532,171183
Riverside,309150,23525,0.4412,66.97169659,3.419498274,0.490023129,2622379457,27276.95792,96139
Calexico,38768,14479,0.4612,64.44232357,4.083851259,9.696969697,736981966.3,17960.71373,41033
Lompoc,42691,23165,0.4324,66.11229533,3.216379116,7.768079801,437593689,10534.01914,41541
Bakersfield,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,7734169178,27759.74092,278611
Oroville,15858,17244,0.4376,73.38882583,2.86607627,2.755177515,456017726,42341.47873,10770
Modesto,202629,22562,0.4548,72.32429711,2.941042426,2.434595299,6752824134,30567.38368,220916
Santa Barbara,89062,30516,0.4879,73.45220184,2.585704332,1.633660207,1211388825,13012.95318,93091
Sacramento,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,3868388864,22317.67098,173333
Elk Grove,155350,35631,0.3825,45.31252012,3.259751978,0.536615705,757488995.8,17132.72105,44213
East Los Angeles,127897,16917,0.4104,56.40241757,4.063059915,1.205746537,1574414459,9963.387285,158020
Exeter,10381,20416,0.4718,87.36152586,3.140048397,11.17448794,244309465,23109.10566,10572
Visalia,125502,24547,0.4419,80.26884034,3.056104807,5.140436575,3549956763,25555.98819,138909
Selma,23538,16927,0.4156,56.90797859,3.639146568,19.87570985,546678539.7,21795.65185,25082
Chico,86833,21151,0.4595,82.87747746,2.56978396,2.123509222,2409604078,23487.48017,102591
Buena Park,81522,26122,0.3971,57.53293589,3.542432538,0.778816199,1503612680,18166.81383,82767
South Gate,95000,18848,0.3984,47.51684211,4.022696477,0.356149427,880705048.2,9168.567082,96057
Dixon,18524,30909,0.3979,78.07708918,3.110663308,3.528872594,144810606,14508.62699,9981
Redlands,69277,32559,0.4487,73.13249708,2.796923574,0.661297715,3677375295,47235.46337,77852
Hayward,147163,27609,0.421,37.98780944,3.257404046,0.507719407,1352973018,8849.381038,152889
King City,12996,17727,0.4099,84.99538319,4.654727794,45.88888889,171330435.9,11574.81664,14802
San Bernardino,211528,18115,0.454,50.98521236,3.623543922,0.966587278,4479125259,22603.23702,198163
Sacramento,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,11572006117,24100.5636,480155
Los Altos,29389,73410,0.4889,69.24699718,2.665427172,0,1302925410,19120.73919,68142
Hanford,54195,25433,0.4216,76.78199096,3.158032749,7.313675412,1929905062,33828.30959,57050
Livermore,82442,43082,0.3941,80.54874942,2.815642077,0.367296317,956194052.4,16310.34631,58625
Pismo Beach,7746,34746,0.4369,92.16369739,2.029342416,3.310886644,202512821.9,25761.71249,7861
Marysville,12144,16628,0.4519,70.28162055,2.712530713,2.845630823,234361287.3,19254.1314,12172
Madera,61899,18698,0.4092,81.02231054,3.824703411,29.64642684,1297900610,20292.06251,63961
Hemet,79986,19528,0.4407,71.97009477,2.617342932,1.498268019,448259133.9,14950.94169,29982
Colton,52650,19630,0.4226,56.73694207,3.560319178,0.630717381,1128264576,23788.49599,47429
Redwood Valley,2105,17939,0.2858,79.95249406,3.738898757,5.731832139,35400889.19,11052.41623,3203
Brea,39843,36997,0.3964,71.67883944,2.825544288,0.53841896,1139735945,26304.83624,43328
Salinas,152340,20126,0.4081,72.76289878,3.765758639,21.08737245,1799647991,14805.21567,121555
Wasco,25686,15221,0.4034,78.10869734,5.090368609,38.44657288,503573429.4,19250.48471,26159
South San Francisco,64630,34203,0.3992,40.53999691,3.074837052,0.370576246,776229253.3,12632.9116,61445
Tulare,59949,21660,0.4338,80.3649769,3.324220916,10.65535125,2045636934,32802.09312,62363
Stockton,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,2831701091,16600.03923,170584
Willows,6138,21143,0.4838,75.87161942,2.657142857,13.6196319,142960385.3,20050.54492,7130
East Palo Alto,28597,21723,0.4447,54.50222051,3.981759955,1.07855763,192266568.8,6597.349921,29143
Banning,29968,21736,0.406,72.28043246,2.44776607,0.716960942,896740294.2,29570.99074,30325
Benicia,27225,43553,0.4103,73.68962351,2.544630339,1.938013167,532370166.4,18955.0013,28086
Woodland,55888,26798,0.4164,71.95641283,2.873862292,7.855044074,1165434959,20366.5477,57223
Mountain View,2282,19925,0.4325,84.83786153,2.232876712,0,986784367.8,12948.22684,76210
Mountain View,75477,50819,0.4589,60.45020337,2.355197054,0.328023599,986784367.8,12948.22684,76210
Antioch,104035,27171,0.4103,51.06742923,3.229195766,0.428642332,1729978953,15974.24655,108298
Indio,80167,22191,0.4379,57.00101039,3.28944237,2.27651127,2227715276,25197.26365,88411
Sunnyvale,143315,49920,0.4113,45.66374769,2.65319535,0.123910619,1813216276,12249.14392,148028
Santa Cruz,61245,22019,0.4879,79.80569842,2.917818009,1.252476411,889571945.6,9341.888028,95224
Fortuna,11851,21831,0.4619,82.15340478,2.846745136,2.413308341,150659418.9,12521.56074,12032
Clovis,97100,29642,0.429,70.39855819,2.940909229,1.41056137,2930363551,27076.08592,108227
Martinez,36471,40226,0.3928,79.89909791,2.557932389,0.452634982,339472828.3,9596.405041,35375
El Monte,114412,18746,0.4266,45.8640702,3.942386548,0.401475694,224989779.4,9795.793251,22968
Vacaville,93137,33950,0.3962,65.81380117,3.028944031,0.725051523,1714537839,19731.59908,86893
Pittsburg,64588,25893,0.4395,38.61862885,3.293625701,0.333727317,1051663310,15890.2333,66183
San Bruno,41581,37679,0.3914,51.30227748,2.793295714,0.2908798,322472570.9,7362.723661,43798
American Canyon,19656,33125,0.3837,44.56654457,3.513764748,0.663981713,365110216.1,18182.77968,20080
Oildale,33222,18966,0.4496,85.69020529,2.707358813,10.01629363,1106431972,33363.44638,33163
Gilroy,49767,27200,0.4322,68.50925312,3.42417779,6.642752757,874585497.3,16428.76862,53235
Downey,112334,26429,0.4062,59.92486691,3.432561266,0.351772392,1550743969,13854.46363,111931
Santa Clara,117817,40008,0.4235,46.41435447,2.782443379,0.243380909,1957815363,16183.90354,120973
Paradise,248,27313,0.4014,87.90322581,2.455445545,2.962962963,650333873.4,24982.09409,26032
Scotts Valley,11618,41012,0.3976,86.02169048,2.74852141,0,135385911.5,12882.85388,10509
Lincoln,43467,33535,0.374,83.92803736,2.618493976,0.347567031,1122575443,24490.59588,45837
McKinleyville,16922,24513,0.4315,85.35043139,2.585485103,5.308447461,158029617.1,9350.864915,16900
Montebello,62943,22796,0.4409,65.33689211,3.251188017,0.326170376,341550739.3,10600.91062,32219
Rohnert Park,41039,26492,0.4051,76.59543361,2.599379275,0.999223904,598095180.4,13781.63004,43398
Port Hueneme,21800,25044,0.4207,70.16972477,3.009802568,4.442667885,192953348.3,8951.674707,21555
Petaluma,58357,35604,0.4047,82.59334784,2.726580386,0.845022816,955400875.2,15596.34456,61258
Eureka,27037,20090,0.4297,81.85079706,2.435765766,1.178299648,380736792.7,14074.25672,27052
Diablo,1183,70990,0.5742,73.96449704,3.056847545,0,587306754.7,15376.9376,38194
Brentwood,52494,39826,0.3813,75.62769078,3.179527559,1.561474872,1071271747,18962.91128,56493
Fountain Valley,55911,32494,0.4071,54.57065694,2.992613606,0.221979758,981850445.9,16577.75079,59227
Tracy,83452,31890,0.3841,57.79010689,3.415963979,1.38216055,1873776466,22006.62939,85146
Menlo Park,32450,54834,0.5056,74.58243451,2.598702651,0.062134957,325909998,20285.69638,16066
Patterson,20480,23757,0.3785,67.58300781,3.535301226,8.281764319,402034734.9,19059.19858,21094
Garden Grove,172785,22747,0.4229,43.84350493,3.763395191,0.286630456,2515806746,14211.99156,177020
Merced,79639,18568,0.4525,58.97361845,3.251367682,7.460686835,2569159487,30805.26963,83400
Hesperia,90804,20932,0.4185,75.1596846,3.508248657,0.509721847,1752775733,19129.46766,91627
Oxnard,199574,21218,0.4162,72.39369858,3.907545914,12.74429922,2533556529,12878.99822,196720
Tehachapi,14014,20805,0.4104,85.69287855,4.240242057,1.450862305,303967823.2,34389.39056,8839
Lake Arrowhead,10283,34524,0.3936,84.459788,2.698950131,1.705237515,201785068.4,9012.687856,22389
Big Bear Lake,5080,20464,0.5186,81.77165354,2.34209313,0.996852046,288864830.5,11275.41397,25619
Cerritos,49345,36365,0.392,23.15736143,3.273083046,0.146614537,765670660.6,15612.86802,49041
Fresno,500819,20422,0.477,53.12857539,3.146579293,5.236668104,15792328483,30360.57914,520159
Hollister,35558,25852,0.3904,81.62438832,3.461643302,5.624231441,377831458.3,18394.01481,20541
Laguna Beach,22980,52909,0.5413,90.83550914,2.082653616,0.202908353,347964837.7,18198.04601,19121
Los Angeles,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,2046344083,19888.8519,102889
San Diego,1322838,30992,0.4684,64.77240599,2.775858198,0.337648804,1099031090,11525.31607,95358
Stockton,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,3508888149,19734.14103,177808
Whittier,85832,30078,0.4348,57.49370864,3.155124246,0.373865053,844983454.1,16915.23109,49954
San Luis Obispo,45584,18908,0.499,83.54247104,2.55029652,0.993155281,509550777.9,11125.07703,45802
Kerman,13856,20566,0.4078,64.37644342,4.039650146,17.89732771,403119937,28113.53212,14339
La Palma,15697,37627,0.4134,44.42250111,3.115720524,0.226950355,203018548.9,12771.67519,15896
Santa Margarita,1372,49601,0.4439,91.25364431,2.828865979,0,2970220947,19154.80671,155064
Mesa,425,46607,0.31,90.11764706,2.75974026,5.957446809,1669639150,15459.62176,108000
Monterey,27939,34380,0.4322,79.46240023,2.149980762,1.222455813,1244692797,12369.86372,100623
Arroyo Grande,17411,30069,0.4155,86.73252542,2.486930439,2.307969708,243735738.8,14236.06909,17121
Davis,65770,22003,0.5129,64.11585829,2.757305161,0.887828162,1301424829,19050.35247,68315
Linda,18442,17436,0.4028,61.47380978,3.194526243,8.211473566,369778023.4,19660.67755,18808
Ceres,46022,19722,0.4621,70.19903524,3.471524478,3.93608074,852387838.2,17892.64758,47639
Newport Beach,86001,54687,0.5469,86.45364589,2.24845094,0.24348559,1686846203,25473.74927,66219
Arcata,17559,14014,0.4863,83.10268239,2.652416918,2.154195011,230736035.6,12496.53572,18464
Crescent City,7470,15940,0.4531,66.35876841,4.15461624,2.659574468,224664233.9,12283.44636,18290
Orange,137999,31518,0.4261,63.41205371,3.218785716,0.299633285,2716617364,19479.12611,139463
Fair Oaks,31493,36117,0.4487,86.10167339,2.440939389,0.605030591,1275764170,35216.8103,36226
Tustin,76497,31988,0.431,52.14975751,3.063310908,0.400697317,1148617004,16966.27776,67700
Goleta,30074,33955,0.3997,69.74795504,2.848995832,1.051379936,1397533361,16073.57855,86946
Adelanto,31376,17110,0.427,57.48980112,4.213240231,0.733724653,455693904,15865.12217,28723
Seal Beach,24333,31201,0.5257,81.81481938,1.934722112,0.329191887,392246786.2,15345.51802,25561
San Clemente,63994,41620,0.4688,83.00309404,2.646129673,0.050816451,891436328.2,17492.86358,50960
