Supplier.Name,Stage.Invoked,Reporting.Month,REPORTED.Total.Monthly.Potable.Water.Production.2014.2015,REPORTED.Total.Monthly.Potable.Water.Production.2013,REPORTED.Units,Total.Population.Served,Optional...Implementation,Conservation.Standard..starting.in.June.2015.,lat,long,liters.2014.2015,liters.2013,liters.normalized,liters.2014.2015.capita,capita.normalized,Month,Year,datesIdx
East Bay,Stage 4,15-Aug,5250.5,7172.3,MG,1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",16%,36.778261,-119.4179324,19875308511,27150114319,0.633305539,14298.7831,0.003680714,Aug,15,15-Aug
East Bay,Stage 4,15-Jul,5148.5,7452.2,MG,1390000,,16%,36.778261,-119.4179324,19489196433,28209651288,0.621002489,14021.00463,0.00360921,Jul,15,15-Jul
East Bay,Stage 4,15-Jun,4778.2,6927.5,MG,1390000,,16%,36.778261,-119.4179324,18087458171,26223445331,0.576337592,13012.55984,0.003349622,Jun,15,15-Jun
East Bay,Stage 4,15-May,4657.7,6716.5,MG,1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",NULL,36.778261,-119.4179324,17631315961,25424723286,0.561803107,12684.39997,0.003265148,May,15,15-May
East Bay,Stage 4,15-Apr,4456.9,5417.5,MG,1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",NULL,36.778261,-119.4179324,16871205124,20507472404,0.537582984,12137.55764,0.003124383,Apr,15,15-Apr
East Bay,Moderate,15-Mar,4650.2,4927.5,MG,1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program will be incorporated into EBMUD’s next monthly submittal to the SWRCB.",NULL,36.778261,-119.4179324,17602925367,18652620263,0.560898471,12663.97508,0.003259891,Mar,15,15-Mar
East Bay,Moderate,15-Feb,3765.9,4016.4,MG,1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,36.778261,-119.4179324,14255485063,15203730903,0.45423585,10255.74465,0.002639977,Feb,15,15-Feb
East Bay,Moderate,15-Jan,4096.2,4099.3,MG,1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,36.778261,-119.4179324,15505806823,15517541602,0.494076021,11155.25671,0.002871525,Jan,15,15-Jan
East Bay,Moderate,14-Dec,3839,4772,MG,1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",NULL,36.778261,-119.4179324,14532198719,18063988613,0.463053036,10538.21517,0.002712689,Dec,14,14-Dec
East Bay,Moderate,14-Nov,4195.4,5148.6,MG,1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,36.778261,-119.4179324,15881319746,19489574974,0.506041341,11516.54804,0.002964526,Nov,14,14-Nov
East Bay,Moderate,14-Oct,5370.6,6175,MG,1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. ",NULL,36.778261,-119.4179324,20329936556,23374922399,0.647791778,14742.52107,0.003794939,Oct,14,14-Oct
East Bay,Moderate,14-Sep,5682.9,6528.4,MG,1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,36.778261,-119.4179324,21512120891,24712687189,0.685460823,15599.7976,0.004015614,Sep,14,14-Sep
East Bay,Moderate,14-Aug,6222,7172.3,MG,1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,36.778261,-119.4179324,23552836788,27150114319,0.750486062,17079.64959,0.004396549,Aug,14,14-Aug
East Bay,Moderate,14-Jul,6590.1,7452.8,MG,1330000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 so as to comply with the State’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies EBMUD’s outreach efforts to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,36.778261,-119.4179324,24946247142,28211922535,0.794885599,18756.5768,0.004828215,Jul,14,14-Jul
East Bay,Moderate,14-Jun,6365.4,7025.7,MG,1330000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",NULL,36.778261,-119.4179324,24095664946,26595172842,0.767782703,18117.04131,0.004663589,Jun,14,14-Jun
Morro Bay,Severly Restricted,15-Aug,32579005,40528972,G,10234,"In July 2015, rebate programs expanded to include cash for grass, rain barrel, irrigation retrofit and SMART irrigation controller",12%,35.3300201,-120.8409245,123324973.9,153418878.6,0.003929619,12050.51533,0.003101977,Aug,15,15-Aug
Morro Bay,Severly Restricted,15-Jul,32318984,42026752,G,10234,,12%,35.3300201,-120.8409245,122340687.1,159088593.8,0.003898256,11954.33722,0.00307722,Jul,15,15-Jul
Morro Bay,Severly Restricted,15-Jun,32189607,36565077,G,10234,,12%,35.3300201,-120.8409245,121850941.8,138413900.8,0.00388265,11906.48249,0.003064901,Jun,15,15-Jun
Morro Bay,Severly Restricted,15-May,29893170,36927203,G,10234,,NULL,35.3300201,-120.8409245,113157980.4,139784697.1,0.003605659,11057.06277,0.002846248,May,15,15-May
Morro Bay,Severely Restricted,15-Apr,29362580,28928011,G,10234,,NULL,35.3300201,-120.8409245,111149478.4,109504455.4,0.00354166,10860.805,0.002795729,Apr,15,15-Apr
Morro Bay,Severly Restricted,15-Mar,29893871,31277518,G,10234,,NULL,35.3300201,-120.8409245,113160634,118398308.7,0.003605743,11057.32206,0.002846315,Mar,15,15-Mar
Morro Bay,Severly Restricted,15-Feb,25004393,25941318,G,10234,,NULL,35.3300201,-120.8409245,94651942.67,98198590.31,0.003015983,9248.77298,0.002380768,Feb,15,15-Feb
Morro Bay,Severly Restricted,15-Jan,29586922,30427517,G,10234,,NULL,35.3300201,-120.8409245,111998705.4,115180704.2,0.003568719,10943.78595,0.002817089,Jan,15,15-Jan
Morro Bay,Severly Restricted,14-Dec,26365763,33999367,G,10234,,NULL,35.3300201,-120.8409245,99805289.74,128701630,0.003180189,9752.324578,0.00251039,Dec,14,14-Dec
Morro Bay,Severely Restricted,14-Nov,27062107,33485435,G,10234,,NULL,35.3300201,-120.8409245,102441239,126756185.4,0.003264181,10009.89242,0.002576691,Nov,14,14-Nov
Morro Bay,Severely Restricted,14-Oct,32547457,37234272,G,10234,,NULL,35.3300201,-120.8409245,123205551.7,140947079.9,0.003925814,12038.84617,0.003098974,Oct,14,14-Oct
Morro Bay,Severly Restricted,14-Sep,32804911,36627545,G,10234,,NULL,35.3300201,-120.8409245,124180121.3,138650367.9,0.003956867,12134.07478,0.003123487,Sep,14,14-Sep
Morro Bay,Severely Restricted,14-Aug,35695596,40528972,G,10461,,NULL,35.3300201,-120.8409245,135122556.5,153418878.6,0.004305536,12916.79156,0.003324969,Aug,14,14-Aug
Morro Bay,Severely Restricted,14-Jul,37625206,42026752,G,10608,See June 2014 report,NULL,35.3300201,-120.8409245,142426926.4,159088593.8,0.004538282,13426.36938,0.003456142,Jul,14,14-Jul
Morro Bay,Severely Restricted ,14-Jun,34544401,36565077,G,10234,"Water Conservation information has been updated on the City website, Channel 20 (local Channel) and discussed at City Council meetings.  Flyers were sent to every mail receptacle in Morro Bay with the water restrictions and water conservation was addressed in the Utility newsletter.  ",NULL,35.3300201,-120.8409245,130764808.5,138413900.8,0.004166681,12777.48764,0.003289111,Jun,14,14-Jun
Yorba Linda,Stage 3,15-Aug,1379.97,2355.9,AF,72500,"Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways: • 14 Water Waster Hotline and 62 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded several calls they received from residents of water waste at locations throughout the City.  • Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff. • Field staff assigned to Conservation Education and Investigation of Water Waste in the Community. •  136 Water Conservation Ordinance First Violations have been issued. 4 Water Conservation Ordinance Second Violations have been issued- resulting in $400 in fines.  • Participation in MWDOC’s Turf Removal Rebate Program (approximately 550,000 sq ft of turf removed) • Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.  • Implementation of a Leak Detection program within the District. Approximately 45 leaks found thus far in YLWD-maintained pipe, which have been repaired, and notified customers of approximately 35 leaks found on the customer-maintained side of the pipe. We are following up with the customers to ensure these leaks are also fixed as soon as possible.  ",36%,33.8931515,-117.7546316,1702166030,2905956615,0.054237708,23478.15214,0.006043617,Aug,15,15-Aug
Yorba Linda,Stage 3,15-Jul,1329.94,2348.8,AF,72500,"Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways: • 46 Water Waster Hotline and 52 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 2 calls they received from residents of water waste at locations throughout the City.  • Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff. • Field staff assigned to Conservation Education and Investigation of Water Waste in the Community. •  270 Water Conservation Ordinance First Violations have been issued. 4 Water Conservation Ordinance Second Violations have been issued- resulting in $800 in fines.  • Participation in MWDOC’s Turf Removal Rebate Program (68 customer pre-inspections/102,000 sq ft of turf removed) • Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.  ",36%,33.8931515,-117.7546316,1640455003,2897198904,0.052271352,22626.96555,0.005824509,Jul,15,15-Jul
Yorba Linda,Stage 3,15-Jun,1357.8,2185,AF,72500,"Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways: • 36 Water Waster Hotline and 45 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 7 calls they received from residents of water waste at locations throughout the City.  • Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff. • Field staff assigned to Conservation Education and Investigation of Water Waste in the Community. •  132 Water Conservation Ordinance First Violations have been issued. 2 Water Conservation Ordinance Second Violations have been issued- resulting in $200 in fines.  • Participation in MWDOC’s Turf Removal Rebate Program (161 customer pre-inspections/240,000 sq ft of turf removed) • Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.  ",36%,33.8931515,-117.7546316,1674819768,2695154804,0.053366348,23100.96232,0.005946523,Jun,15,15-Jun
