"","Supplier.Name","Total.Population","Median.Income","Gini.Index","White.Proportion..in...","Household.Size","Agriculture.Employement..in...","liters.2014.2015","liters.2014.2015.capita","Month","Year","Total.Population.Served"
"1","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"123324973.9","12050.51533","Aug","15","10234"
"2","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"122340687.1","11954.33722","Jul","15","10234"
"3","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"121850941.8","11906.48249","Jun","15","10234"
"4","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"113157980.4","11057.06277","May","15","10234"
"5","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"111149478.4","10860.805","Apr","15","10234"
"6","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"113160634","11057.32206","Mar","15","10234"
"7","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"94651942.67","9248.77298","Feb","15","10234"
"8","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"111998705.4","10943.78595","Jan","15","10234"
"9","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"99805289.74","9752.324578","Dec","14","10234"
"10","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"102441239","10009.89242","Nov","14","10234"
"11","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"123205551.7","12038.84617","Oct","14","10234"
"12","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"124180121.3","12134.07478","Sep","14","10234"
"13","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"135122556.5","12916.79156","Aug","14","10461"
"14","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"142426926.4","13426.36938","Jul","14","10608"
"15","Morro Bay",10322,28758,0.417,94.51656656,2.061513881,1.252052545,"130764808.5","12777.48764","Jun","14","10234"
"16","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1702166030","23478.15214","Aug","15","72500"
"17","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1640455003","22626.96555","Jul","15","72500"
"18","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1674819768","23100.96232","Jun","15","72500"
"19","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1508854972","20528.63908","May","15","73500"
"20","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1754305249","24197.31378","Apr","15","72500"
"21","California City",13333,21094,0.4165,66.64666617,2.815839493,3.134432319,"547912020.2","38803.96744","Aug","15","14120"
"22","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1061533284","14346.98315","Mar","15","73990"
"23","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1539506962","21264.20202","Feb","15","72399"
"24","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1515084049","20926.8643","Jan","15","72399"
"25","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1063506852","14689.52406","Dec","14","72399"
"26","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"1875260343","25901.74371","Nov","14","72399"
"27","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"2371736228","32759.24015","Oct","14","72399"
"28","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"2562308959","35391.49655","Sep","14","72399"
"29","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"2748071116","37141.11523","Aug","14","73990"
"30","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"2901269389","39211.64197","Jul","14","73990"
"31","Yorba Linda",65425,48245,0.419,76.02139855,2.990173675,0.699543091,"2834908141","38314.74714","Jun","14","73990"
"32","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5729516735","12086.4406","Aug","15","474045"
"33","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5597534326","11812.5334","Jul","15","473864"
"34","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5387842648","11374.36355","Jun","15","473683"
"35","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5270662004","11131.23494","May","15","473502"
"36","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5731983696","12112.03388","Apr","15","473247"
"37","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5690045361","12028.4227","Mar","15","473050"
"38","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"4891983503","10345.67509","Feb","15","472853"
"39","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5167049646","10931.94553","Jan","15","472656"
"40","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"4928987917","10432.62572","Dec","14","472459"
"41","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"5514891135","11677.60933","Nov","14","472262"
"42","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"6111895678","12925.57238","Oct","14","472853"
"43","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"6306785590","13360.27707","Sep","14","472055"
"44","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"6493041140","13760.08718","Aug","14","471875"
"45","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"6610221784","14013.79238","Jul","14","471694"
"46","Long Beach",465424,25497,0.4756,52.77531885,2.840323929,0.481786684,"6401763586","13591.85475","Jun","14","471000"
"47","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"926642490.5","24931.19055","Aug","15","37168"
"48","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"923428675.3","24844.72329","Jul","15","37168"
"49","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"897449389","24145.75412","Jun","15","37168"
"50","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"736838120.6","19824.52972","May","15","37168"
"51","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"708689793","19067.20278","Apr","15","37168"
"52","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"629956997.7","16948.9076","Mar","15","37168"
"53","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"446447768.9","12011.61668","Feb","15","37168"
"54","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"481489332.7","12954.40521","Jan","15","37168"
"55","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"482147994.5","12972.12641","Dec","14","37168"
"56","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"561796859.6","15115.06833","Nov","14","37168"
"57","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"862362400.3","23201.74344","Oct","14","37168"
"58","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"956630528.6","25738.01465","Sep","14","37168"
"59","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"1104087488","29705.32416","Aug","14","37168"
"60","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"1177948458","31692.54353","Jul","14","37168"
"61","Los Banos",36219,19803,0.4369,79.05795301,3.567671395,6.673926571,"1138682374","30636.09486","Jun","14","37168"
"62","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2256900807","31706.50605","Aug","15","71181"
"63","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2282225217","32062.2809","Jul","15","71181"
"64","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2287439244","32135.53117","Jun","15","71181"
"65","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1802916282","25328.61693","May","15","71181"
"66","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1884264797","26471.45723","Apr","15","71181"
"67","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1790500129","25154.18621","Mar","15","71181"
"68","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1115939615","15677.4928","Feb","15","71181"
"69","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1129188559","15863.62314","Jan","15","71181"
"70","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1139409173","16007.20941","Dec","14","71181"
"71","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"1563375377","21963.38035","Nov","14","71181"
"72","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2277304181","32471.68455","Oct","14","70132"
"73","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2681586239","37672.78121","Sep","14","71181"
"74","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2668562304","37489.81195","Aug","14","71181"
"75","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"3013188377","42331.35777","Jul","14","71181"
"76","Turlock",69185,22970,0.4354,80.0332442,2.970078132,5.531691985,"2994261315","42065.45728","Jun","14","71181"
"77","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"78","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"79","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"80","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"81","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"82","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"83","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"84","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"85","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"86","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"87","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"88","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"89","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"90","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"91","Jurupa Valley",97725,22113,0.4054,57.37221796,3.90649984,1.607791605,"Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley","Jurupa Valley"
"92","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1465374786","21763.09961","Aug","15","67333"
"93","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1461674345","21708.14229","Jul","15","67333"
"94","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1313656690","19509.8494","Jun","15","67333"
"95","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1071894519","15919.30435","May","15","67333"
"96","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"938678629.8","13940.84074","Apr","15","67333"
"97","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"895506813.7","13299.67198","Mar","15","67333"
"98","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"630308514.9","9361.06389","Feb","15","67333"
"99","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"703083862","10441.89123","Jan","15","67333"
"100","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"694449498.8","10313.65748","Dec","14","67333"
"101","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"841233673.5","12493.63126","Nov","14","67333"
"102","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1271718354","18886.99975","Oct","14","67333"
"103","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1572687586","23356.86196","Sep","14","67333"
"104","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1821850639","27057.32165","Aug","14","67333"
"105","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"2000705306","29651.06048","Jul","14","67475"
"106","Citrus Heights",84218,26574,0.3879,82.03590681,2.583929065,0.380878352,"1909427752","28298.29939","Jun","14","67475"
"107","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"418896143.4","13833.17295","Aug","15","30282"
"108","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"410842477.6","13567.21741","Jul","15","30282"
"109","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"393246555.3","12986.14871","Jun","15","30282"
"110","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"405090766.6","13377.27913","May","15","30282"
"111","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"373578055.2","12336.63745","Apr","15","30282"
"112","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"379140344.2","12520.32046","Mar","15","30282"
"113","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"319213387.5","10541.35749","Feb","15","30282"
"114","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"343740324.5","11351.30852","Jan","15","30282"
"115","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"312455040.7","10318.17716","Dec","14","30282"
"116","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"345308991.9","11403.11049","Nov","14","30282"
"117","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"439780631.6","14522.83969","Oct","14","30282"
"118","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"448566047.9","14812.95977","Sep","14","30282"
"119","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"504486486.1","16659.61581","Aug","14","30282"
"120","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"543068656","17933.71164","Jul","14","30282"
"121","Burlingame",29237,48551,0.5051,68.9947669,2.396671858,0.231145159,"471275419","15562.88947","Jun","14","30282"
"122","Orangevale",33832,31847,0.3976,88.18574131,2.644157874,0.203305352,"Orangevale","Orangevale","Orangevale","Orangevale","Orangevale"
