Supplier.Name,lat,long,Total.Population.Served,liters.2014.2015,liters.2014.2015.capita,Month,Year,Conservation.Standard.2015,SPEI_3YEARS,SPI_3YEARS
Adelanto City of,34.6093615,-117.6754371,31765,421623033.5,13273.19482,Oct,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,32543,455006586.6,13981.7038,May,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,32543,420862165.6,12932.49441,Apr,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,28723,520051443.8,18105.74953,Jun,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,299244431.7,9420.570806,Dec,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,353262268.5,11121.11659,Nov,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,531548990.8,16733.79477,Jun,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,469514346.7,14780.87035,Sep,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,490267704.4,15434.21075,Aug,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,31765,611686666.3,19256.62415,Jul,14,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,32543,357869115.6,10996.80778,Mar,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,28723,490405871.9,17073.62991,Jul,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,28723,455693904,15865.12217,Aug,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,32543,265050800.2,8144.633262,Feb,15,20%,-2.164464696,-1.659207743
Adelanto City of,34.6093615,-117.6754371,32543,319000499.7,9802.43062,Jan,15,20%,-2.164464696,-1.659207743
Alameda County Water District,36.778261,-119.4179324,346000,4387293127,12680.03794,Aug,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3418227518,10053.61035,Nov,14,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3250533743,9560.393362,Jan,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3062777281,9008.168475,Dec,14,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,344000,4042820587,11752.38543,Jun,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3622639795,10654.82293,Apr,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,346000,4341868177,12548.75196,Jul,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,5022485350,14772.01574,Aug,14,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,344000,3837272686,11154.86246,May,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3010160047,8853.411904,Feb,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,4621988704,13594.08442,Sep,14,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,3637781445,10699.35719,Mar,15,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,340000,4330133398,12735.68646,Oct,14,16%,-2.515306782,-2.230197237
Alameda County Water District,36.778261,-119.4179324,337562,5304120043,15713.0247,Jul,14,16%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29141,377602471.1,12957.77328,Nov,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,455960510.6,15626.32409,Aug,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,445342428.4,15262.42943,Jul,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,426994533.9,14633.62466,Jun,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29141,469205669,16101.22058,Oct,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,414673016.1,14211.35118,Apr,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,370845509.7,12709.32896,Mar,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,340543282.4,11670.83459,Feb,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,390987689.8,13399.6261,May,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29141,339460654.4,11648.90204,Dec,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29141,484555516.9,16627.96462,Sep,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29334,500976636.4,17078.36082,Aug,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29179,339543933.5,11636.58568,Jan,15,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29334,528227821.3,18007.35738,Jul,14,24%,-2.515306782,-2.230197237
Alco Water Service,36.778261,-119.4179324,29334,513623699.7,17509.50091,Jun,14,24%,-2.515306782,-2.230197237
Alhambra  City of,37.8012978,-122.4405747,85068,1261431127,14828.5034,Jun,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1267931569,14904.91805,Aug,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1163912162,13682.13855,Oct,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1147223171,13485.95443,Sep,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,946104182.2,11121.74005,Jun,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1238821430,14562.71959,Jul,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1025022262,12049.44588,Aug,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,973906831.8,11448.56858,Jul,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,852840724.6,10025.39997,Feb,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,946831935.7,11130.29501,May,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,946733257.2,11129.13501,Apr,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,1001586133,11773.94712,Mar,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,862079493.3,10134.00448,Dec,14,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,907348226.2,10666.15209,Jan,15,24%,-1.947805643,-1.301461457
Alhambra  City of,37.8012978,-122.4405747,85068,969638989.4,11398.3988,Nov,14,24%,-1.947805643,-1.301461457
Amador Water Agency,36.778261,-119.4179324,23347,193737413.5,8298.17165,Feb,15,24%,-2.515306782,-2.230197237
