Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Del Oro Water Company,Rule 14.1 Voluntary Conservation,No,Jun-14,57714,68293,CCF,,9615,,,,," 43,173,070 "," 51,086,712 ",92%,No Correction Needed
Discovery Bay Community Services District,,Yes,Jun-14,135,145,MG,,13000,,,,," 135,000,000 "," 145,000,000 ",90%,No Correction Needed
Madera County,3,Yes,Jun-14,151420666,158837996,G,,11853,,,,," 151,420,666 "," 158,837,996 ",98%,No Correction Needed
San Bernardino County Service Area 70,None,,Jun-14,206.52,216.59,AF,"None starting on August 1, 2014  ",10160,"None starting on August 1, 2014","None starting on August 1, 2014",,," 67,294,837 "," 70,576,161 ",100%,No Correction Needed
Del Oro Water Company,Rule 14.1 Voluntary Conservation,No,Jul-14,63311,65748,CCF,,9615,,,,," 47,359,917 "," 49,182,919 ",90%,No Correction Needed
Discovery Bay Community Services District,,Yes,Jul-14,149,162,MG,,13000,Door hangers to residents/ business users where we see excessive use.,we are using a portable trailer sign to educate residents that State Drought Regulations are now enforced,,," 149,000,000 "," 162,000,000 ",90%,No Correction Needed
Madera County,"3.0,  4.0",Yes,Jul-14,144176331,210340618,G,,11853,,,,," 144,176,331 "," 210,340,618 ",98%,No Correction Needed
San Bernardino County Service Area 70,None,,Jul-14,211.31,248.98,AF,"None starting on August 1, 2014",10160,"None starting on August 1, 2014","None starting on August 1, 2014",,," 68,855,665 "," 81,130,488 ",100%,No Correction Needed
Del Oro Water Company,Rule 14.1 Voluntary Conservation,Yes,Aug-14,64630,69785,CCF,,9615,,,,," 48,346,597 "," 52,202,805 ",90%,No Correction Needed
Discovery Bay Community Services District,,Yes,Aug-14,121,156,MG,"We are using various means to get the word out to reduce water where possible, along with placing door hangers on residents, where we see water flowing down the gutters, advising to reduce their water.",13000,,we are continuing to educate residents about the drought.,,," 121,000,000 "," 156,000,000 ",90%,No Correction Needed
Madera County,"3, 3.5, 4",Yes,Aug-14,112688930,179640485,G,,11853,,,,," 112,688,930 "," 179,640,485 ",98%,No Correction Needed
San Bernardino County Service Area 70,,Yes,Aug-14,209,219,AF,,10140,,,,," 68,102,948 "," 71,361,463 ",99%,No Correction Needed
East Bay Municipal Utilities District,Moderate,Yes,Jun-14,6365.4,7025.7,MG,"1Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use.  2.EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUDâ€™s service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013.",1330000,"EBMUDâ€™s Board adopted Section 28 of the Districtâ€™s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDâ€™s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the stateâ€™s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",,," 6,365,400,000 "," 7,025,700,000 ",69%,No Correction Needed
