Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Adelanto city of,,No,Jun-14,140420360,142664000,G,," 31,765 ",,,,,,140420360,142664000,94.31,95.81,64%,No Correction Needed
Adelanto city of,,No,Jul-14,161590490,154254000,G,," 31,765 ",,,,,,161590490,154254000,137.84,131.58,84%,No Correction Needed
Adelanto city of,,,Aug-14,129515000,151445000,G,," 31,765 ",,,,,,129515000,151445000,94.70,110.73,72%,No Correction Needed
Adelanto city of,,No,Sep-14,124032544,136663544,G,," 31,765 ",9259,,,,,124032544,136663544,92.41,101.82,71%,No Correction Needed
Adelanto city of,,No,Oct-14,111381000,130818000,G,," 31,765 ",6883.92,,,,,111381000,130818000,69.00,81.04,61%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Jul-14,1401.2,1798,MG,"Percent Residential Use is preliminary and is based on May/June 2014 residential consumption figures (Including MFR dedicated landscape irrigation accounts). This number will be updated, if needed, prior to 10/15/2014."," 337,562 ",,"ACWD adopted an Ordinance Declaring a Water Shortage Emergency and Adopting Water Use Regulations, Restrictions and Guidelines (Ordinance) on March 13, 2014. The Ordinance: 1) Limits irrigation to 2 days per week June-Sept, 1 day per week Oct-May. 2) Prohibits excessive run-off from irrigation, hosing down driveways/walkways and other hard surfaces, washing structures except to prep for repair work and the use of hoses without shut-off nozzles. 3) Also prohibits draining and refilling pools except for health and safety reasons, and the use of non-recirculating fountains. Enforcement includes two written warnings, with possible termination of water service if not corrected, fees for site visits and re-connection charges. A copy of the Ordinance is available at: www.acwd.org ","- Enhanced outreach and conservation program in place.  - Enacted a Drought Surcharge on July 21, 2014 (additional charges for use above 16 units for SFR customers and on all usage for other use classifications). - Over 600 ordinance violation letters hav",,,1401200000,1798000000,95.07,121.99,71%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Aug-14,1326.8,1742.2,MG,"Percent Residential Use is preliminary and is based on June/July 2014 residential consumption figures (Including MFR dedicated landscape irrigation accounts). This number will be updated, if needed, prior to 10/15/2014."," 340,000 ",,Information provided with July 2014 report - no updates at this time.,Information provided with July 2014 report - no updates at this time.,,,1326800000,1742200000,89.38,117.36,71%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Sep-14,1221,1548,MG,Percent Residential Use is based on Aug/Sept 2013 residential consumption figures (Including MFR dedicated landscape irrigation accounts). We use the two months to capture a complete billing cycle (ACWD bills bi-monthly). ," 340,000 ",80,Information provided with July 2014 report - no updates at this time.,Information provided with July 2014 report - no updates at this time.,,,1221000000,1548000000,80.20,101.68,67%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Oct-14,1143.9,1444.6,MG,Percent Residential Use is based on Sept/Oct 2013 residential consumption figures (Including MFR dedicated landscape irrigation accounts). We use the two months to capture a complete billing cycle (ACWD bills bi-monthly). ," 340,000 ",74.9,Information provided with July 2014 report - no updates at this time.,Information provided with July 2014 report - no updates at this time.,,,1143900000,1444600000,74.89,94.57,69%,No Correction Needed
Alco Water Service,2,Yes,Jun-14,135.685,150.725,MG,," 29,334 ",,,,,,135685000,150725000,130.13,144.56,84%,No Correction Needed
Alco Water Service,2,Yes,Jul-14,139.543,149.155,MG,," 29,334 ",,,,,,139543000,149155000,131.05,140.08,85%,No Correction Needed
Alco Water Service,2,Yes,Aug-14,132.344,148.103,MG,," 29,334 ",,,,,,132344000,148103000,120.65,135.02,83%,No Correction Needed
