"","Supplier.Name","Stage.Invoked","Reporting.Month","REPORTED.Total.Monthly.Potable.Water.Production.2014.2015","REPORTED.Total.Monthly.Potable.Water.Production.2013","REPORTED.Units","Total.Population.Served","Optional...Implementation","Conservation.Standard..starting.in.June.2015.","lat","long","liters.2014.2015","liters.2013","liters.normalized","liters.2014.2015.capita","capita.normalized","Month","Year","datesIdx"
"1","East Bay Municipal Utilities District","Stage 4","Aug-15",5250.5,7172.3,"MG",1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ","16%",36.778261,-119.4179324,19875308511.1215,27150114319.4585,0.633305539428217,14298.7831015263,0.00368071411342054,"Aug","15","Aug15"
"2","East Bay Municipal Utilities District","Stage 4","Jul-15",5148.5,7452.2,"MG",1390000,"","16%",36.778261,-119.4179324,19489196432.6272,28209651287.7973,0.621002489238392,14021.0046277894,0.00360920990628429,"Jul","15","Jul15"
"3","East Bay Municipal Utilities District","Stage 4","Jun-15",4778.2,6927.5,"MG",1390000,"","16%",36.778261,-119.4179324,18087458171.1915,26223445331.0722,0.576337592323761,13012.5598353896,0.00334962159351415,"Jun","15","Jun15"
"4","East Bay Municipal Utilities District","Stage 4","May-15",4657.7,6716.5,"MG",1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ","NULL",36.778261,-119.4179324,17631315960.8134,25424723286.3437,0.561803106560291,12684.3999718082,0.00326514848606396,"May","15","May15"
"5","East Bay Municipal Utilities District","Stage 4","Apr-15",4456.9,5417.5,"MG",1390000,"1. EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUD’s Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ","NULL",36.778261,-119.4179324,16871205123.9344,20507472404.3426,0.537582984225811,12137.5576431183,0.00312438334103495,"Apr","15","Apr15"
"6","East Bay Municipal Utilities District","Moderate","Mar-15",4650.2,4927.5,"MG",1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program will be incorporated into EBMUD’s next monthly submittal to the SWRCB.","NULL",36.778261,-119.4179324,17602925366.8065,18652620262.5562,0.560898470516921,12663.9750840334,0.00325989082377453,"Mar","15","Mar15"
"7","East Bay Municipal Utilities District","Moderate","Feb-15",3765.9,4016.4,"MG",1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.","NULL",36.778261,-119.4179324,14255485062.7621,15203730902.5938,0.4542358500967,10255.7446494692,0.00263997738876877,"Feb","15","Feb15"
"8","East Bay Municipal Utilities District","Moderate","Jan-15",4096.2,4099.3,"MG",1390000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.","NULL",36.778261,-119.4179324,15505806822.8276,15517541601.6838,0.494076021446693,11155.2567070702,0.00287152483599528,"Jan","15","Jan15"
"9","East Bay Municipal Utilities District","Moderate","Dec-14",3839,4772,"MG",1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUD’s Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.","NULL",36.778261,-119.4179324,14532198719.0164,18063988613.4791,0.463053036066075,10538.2151697001,0.00271268939671077,"Dec","14","Dec14"
"10","East Bay Municipal Utilities District","Moderate","Nov-14",4195.4,5148.6,"MG",1379000,"EBMUD’s Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the state’s emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.","NULL",36.778261,-119.4179324,15881319746.2259,19489574973.8807,0.506041340846994,11516.5480393227,0.00296452646391257,"Nov","14","Nov14"
