"","x"
"1","East Bay Municipal Utilities District"
"2","Morro Bay  City of"
"3","Yorba Linda Water District"
"4","California City  City of"
"5","Long Beach  City of"
"6","Los Banos, City of"
"7","Turlock  City of"
"8","Jurupa Community Service District"
"9","Coastside County Water District"
"10","Citrus Heights Water District"
"11","Burlingame  City of"
"12","Orange Vale Water Company"
"13","Dublin San Ramon Services District"
"14","Los Angeles Department of Water and Power"
"15","Camrosa Water District"
"16","El Dorado Irrigation District"
"17","El Centro  City of"
"18","Milpitas  City of"
"19","Santa Rosa  City of"
"20","Westminster  City of"
"21","Poway  City of"
"22","Mid-Peninsula Water District"
"23","Olivenhain Municipal Water District"
"24","San Diego  City of"
"25","Daly City  City of"
"26","San Lorenzo Valley Water District"
"27","Delano  City of"
"28","Anaheim  City of"
"29","South Tahoe Public Utilities District"
"30","Elsinore Valley Municipal Water District"
"31","Coachella Valley Water District"
"32","Lake Hemet Municipal Water District"
"33","Carmichael Water District"
"34","Monte Vista Water District"
"35","Pleasanton  City of"
"36","Santa Monica  City of"
"37","Riverside  City of"
"38","Contra Costa Water District"
"39","Imperial, City of"
"40","California Water Service Company Antelope Valley"
"41","Irvine Ranch Water District"
"42","Watsonville  City of"
"43","San Jose  City of"
"44","Dinuba  City of"
"45","Casitas Municipal Water District"
"46","Sacramento Suburban Water District"
"47","San Jose Water Company"
"48","Rowland Water District"
"49","Folsom  City of"
"50","Chino  City of"
"51","Hi-Desert Water District"
"52","Soledad, City of"
"53","North Marin Water District"
"54","Marin Municipal Water District"
"55","Shafter  City of"
"56","Windsor, Town of"
"57","Indian Wells Valley Water District"
"58","San Francisco Public Utilities Commission"
"59","Brawley  City of"
"60","Ontario  City of"
"61","Huntington Beach  City of"
"62","Calaveras County Water District"
"63","Humboldt Bay Municipal Water District"
"64","Santa Maria  City of"
"65","Yuba City  City of"
"66","Escondido  City of"
"67","Los Angeles County Public Works Waterworks District 29"
"68","Placer County Water Agency"
"69","Corona  City of"
"70","Burbank  City of"
"71","Camarillo  City of"
"72","Blythe  City of"
"73","Roseville  City of"
"74","Vista Irrigation District"
"75","West Valley Water District"
"76","Napa  City of"
"77","Mission Springs Water District"
"78","Los Angeles County Public Works Waterworks District 40"
"79","Nevada Irrigation District"
"80","Alameda County Water District"
"81","Hawthorne  City of"
"82","Nipomo Community Services District"
"83","Rancho California Water District"
"84","Rainbow Municipal Water District"
"85","Oceanside  City of"
"86","Western Municipal Water District of Riverside"
"87","Tahoe City Public Utilities District"
"88","Calexico  City of"
"89","Lompoc  City of"
"90","California Water Service Company Bakersfield"
"91","Amador Water Agency"
"92","California Water Service Company Oroville"
"93","Trabuco Canyon Water District"
"94","Otay Water District"
"95","Truckee-Donner Public Utilities District"
"96","Modesto, City of"
"97","Joshua Basin Water District"
"98","Santa Barbara  City of"
"99","Tuolumne Utilities District"
"100","Sacramento County Water Agency"
"101","San Buenaventura  City of"
"102","Elk Grove Water Service"
"103","Newhall County Water District"
"104","Valencia Water Company"
"105","Castaic Lake Water Agency Santa Clarita Water Division"
"106","California Water Service Company East Los Angeles"
"107","Exeter  City of"
"108","Rio Vista, city of"
"109","Sweetwater Springs Water District"
"110","California Water Service Company Visalia"
"111","California Water Service Company Selma"
"112","California Water Service Company Chico District"
"113","Soquel Creek Water District"
"114","East Valley Water District"
"115","California Water Service Company Bear Gulch"
"116","Buena Park  City of"
"117","South Gate  City of"
"118","Hillsborough  Town of"
"119","California Water Service Company Dixon, City of"
"120","Redlands  City of"
"121","San Juan Water District"
"122","Fountain Valley  City of"
"123","California Water Service Company Dominguez"
"124","Hayward  City of"
"125","California Water Service Company Hermosa/Redondo"
"126","California Water Service Company King City"
"127","Yucaipa Valley Water District"
"128","San Bernardino  City of"
"129","Sacramento  City of"
"130","California Water Service Company Kern River Valley"
"131","California Water Service Company Los Altos/Suburban"
"132","Hanford  City of"
"133","California Water Service Company Livermore"
"134","West Kern Water District"
"135","Paso Robles  City of"
"136","Pismo Beach  City of"
"137","California Water Service Company Marysville"
"138","Madera  City of"
"139","Hemet  City of"
"140","California Water Service Company Mid Peninsula"
"141","California Water Service Company Palos Verdes"
"142","Colton, City of"
"143","California Water Service Company Redwood Valley"
"144","Brea  City of"
"145","California Water Service Company Salinas District"
"146","Wasco  City of"
"147","California Water Service Company South San Francisco"
"148","Tulare, City of"
"149","California Water Service Company Stockton"
"150","California Water Service Company Willows"
"151","California Water Service Company Westlake"
"152","East Palo Alto, City of"
"153","Banning  City of"
"154","Benicia  City of"
"155","Westborough Water District"
"156","Woodland  City of"
"157","Mountain View  City of"
"158","Mammoth Community Water District"
"159","Antioch  City of"
"160","Estero Municipal Improvement District"
"161","East Orange County Water District"
"162","Triunfo Sanitation District / Oak Park Water Service"
"163","Vallecitos Water District"
"164","Indio  City of"
"165","Sunnyvale  City of"
"166","Santa Cruz  City of"
"167","Fortuna  City of"
"168","Clovis  City of"
"169","East Niles Community Service District"
"170","Loma Linda  City of *"
"171","Loma Linda  City of"
"172","Eastern Municipal Water District"
"173","Martinez  City of"
"174","El Monte  City of"
"175","Marina Coast Water District"
"176","Vacaville  City of"
"177","Pittsburg  City of"
"178","San Bruno  City of"
"179","American Canyon, City of"
"180","Oildale Mutual Water Company"
"181","Livermore  City of Division of Water Resources"
"182","Gilroy  City of"
"183","Crescenta Valley Water District"
"184","Downey  City of"
"185","San Gabriel Valley Water Company"
"186","Santa Clara  City of"
"187","Paradise Irrigation District"
"188","Scotts Valley Water District"
"189","Lincoln  City of"
"190","Vaughn Water Company"
"191","McKinleyville Community Service District"
"192","Cambria Community Services District"
"193","Montebello Land and Water Company"
"194","Humboldt Community Service District"
"195","Rohnert Park  City of"
"196","Valley of the Moon Water District"
"197","Bellflower-Somerset Mutual Water Company"
"198","Port Hueneme  City of"
"199","Petaluma  City of"
"200","Eureka  City of"
"201","Diablo Water District"
"202","El Toro Water District"
"203","Brentwood  City of"
"204","Tracy  City of"
"205","Menlo Park  City of"
"206","Patterson  City of"
"207","Garden Grove  City of"
"208","Merced  City of"
"209","San Gabriel Valley Fontana Water Company"
"210","Hesperia Water District City of"
"211","Moulton Niguel Water District"
"212","Oxnard  City of"
"213","Tehachapi, City of"
"214","La Habra  City of Public Works"
"215","Lake Arrowhead Community Services District"
"216","City of Big Bear Lake, Dept of Water & Power"
"217","Cerritos  City of"
"218","Fresno  City of"
"219","Hollister  City of"
"220","Sunnyslope County Water District"
"221","Laguna Beach County Water District"
"222","California-American Water Company Los Angeles District"
"223","California-American Water Company San Diego District"
"224","California-American Water Ventura District"
"225","Stockton  City of"
"226","Lincoln Avenue Water Company"
"227","Whittier  City of"
"228","San Luis Obispo  City of"
"229","Kerman, City of"
"230","La Palma  City of"
"231","Santa Margarita Water District"
"232","Mesa Water District"
"233","California-American Water Company Monterey District"
"234","Arroyo Grande  City of"
"235","Suisun-Solano Water Authority"
"236","Davis  City of"
"237","Linda County Water District"
"238","Ceres  City of"
"239","Newport Beach  City of"
"240","Ventura County Waterworks District No. 8"
"241","Arcata  City of"
"242","Crescent City  City of"
"243","Crestline Village Water District"
"244","South Coast Water District"
"245","Bakman Water Company"
"246","Orange  City of"
"247","Fair Oaks Water District"
"248","Tustin  City of"
"249","Goleta Water District"
"250","Adelanto City of"
"251","Seal Beach  City of"
"252","San Clemente  City of"
"253","Azusa  City of"
"254","Alhambra  City of"
"255","Apple Valley Ranchos Water Company"
"256","Thousand Oaks  City of"
"257","Beverly Hills  City of"
"258","Golden State Water Company Cowan Heights"
"259","Victorville Water District"
"260","Pomona  City of"
"261","Walnut Valley Water District"
"262","California-American Water Company Sacramento District"
"263","Ventura County Waterworks District No 1"
"264","Great Oaks Water Company Incorporated"
"265","Carlsbad Municipal Water District"
"266","Golden State Water Company Placentia"
"267","Huntington Park  City of"
"268","Helix Water District"
"269","Manhattan Beach  City of"
"270","Lakeside Water District"
"271","Carpinteria Valley Water District"
"272","Lakewood  City of"
"273","Lynwood  City of"
"274","Las Virgenes Municipal Water District"
"275","Chino Hills  City of"
"276","Lodi  City of Public Works Department"
"277","Golden State Water Company S Arcadia"
"278","Lomita  City of"
"279","Golden State Water Company San Dimas"
"280","Ramona Municipal Water District"
"281","Monrovia  City of"
"282","North Coast County Water District"
"283","North Tahoe Public Utility District"
"284","San Dieguito Water District"
"285","Palmdale Water District"
"286","Olivehurst Public Utility District"
"287","Twentynine Palms Water District"
"288","Orchard Dale Water District"
"289","Phelan Pinon Hills Community Services District"
"290","Yreka, City of"
"291","Rubidoux Community Service District"
"292","Quartz Hill Water District"
"293","Pico Rivera  City of"
"294","Rincon Del Diablo Municipal Water District"
"295","San Fernando  City of"
"296","Riverside Highland Water Company"
"297","Rubio Canyon Land and Water Association"
"298","Santa Fe Springs  City of"
"299","San Bernardino County Service Area 64"
"300","Valley County Water District"
"301","San Jacinto  City of"
"302","San Gabriel County Water District"
"303","Santa Ana  City of"
"304","San Juan Capistrano  City of"
"305","Serrano Water District"
"306","Sunny Slope Water Company"
"307","Sonoma  City of"
"308","Sweetwater Authority"
"309","Suburban Water Systems San Jose Hills"
"310","Ukiah  City of"
"311","Arcadia  City of"
"312","Suburban Water Systems Whittier/La Mirada"
"313","Golden State Water Company Artesia"
"314","Golden State Water Company Claremont"
"315","Golden State Water Company Bell-Bell Gardens"
"316","Golden State Water Company Florence Graham"
"317","Golden State Water Company Barstow"
"318","Golden State Water Company Norwalk"
"319","Upland  City of"
"320","Golden State Water Company Simi Valley"
"321","Golden State Water Company Southwest"
"322","Golden State Water Company West Orange"
"323","Grover Beach  City of"
"324","Coachella  City of"
"325","Compton  City of"
"326","Valley Water Company"
"327","Cucamonga Valley Water District"
"328","Desert Water Agency"
"329","La Verne  City of"
"330","Fullerton  City of"
"331","Sierra Madre  City of"
"332","Georgetown Divide Public Utilities District"
"333","Norwalk City of"
"334","Glendora  City of"
"335","Santa Fe Irrigation District"
"336","Rosamond Community Service District"
"337","Park Water Company"
"338","Rio Linda - Elverta Community Water District"
"339","Padre Dam Municipal Water District"
"340","Millbrae  City of"
"341","Groveland Community Services District"
"342","Paramount  City of"
"343","Pasadena  City of"
"344","Vernon  City of"
"345","Pico Water District"
"346","Palo Alto  City of"
"347","Rialto  City of"
"348","Santa Paula  City of"
"349","South Pasadena  City of"
"350","Torrance  City of"
"351","West Sacramento  City of"
"352","Fallbrook Public Utility District"
"353","Morgan Hill  City of"
"354","Valley Center Municipal Water District"
"355","Beaumont-Cherry Valley Water District"
"356","Redwood City  City of"
"357","Lemoore  City of"
"358","Reedley  City of"
"359","Golden State Water Company Cordova"
"360","Golden State Water Company Bay Point"
"361","Glendale  City of"
"362","Fruitridge Vista Water Company"
"363","Golden State Water Company Culver City"
"364","Golden State Water Company S San Gabriel"
"365","Galt  City of"
"366","Golden State Water Company Orcutt"
"367","Inglewood  City of"
"368","Susanville  City of"
"369","South Feather Water and Power Agency"
"370","Red Bluff  City of"
"371","El Segundo  City of"
"372","Alco Water Service"
"373","Anderson, City of"
"374","Arvin Community Services District"
"375","Atascadero Mutual Water Company"
"376","Atwater  City of"
"377","Bakersfield  City of"
"378","Bella Vista Water District"
"379","Covina  City of "
"380","Del Oro Water Company"
"381","Discovery Bay Community Services District"
"382","Fairfield  City of"
"383","Fillmore  City of"
"384","Greenfield, City of"
"385","Healdsburg  City of"
"386","Kingsburg, City of"
"387","Lamont Public Utility District"
"388","Lathrop, City of "
"389","Lee Lake Water District"
"390","Livingston  City of"
"391","Madera County"
"392","Manteca  City of"
"393","Montecito Water District"
"394","Monterey Park  City of"
"395","Myoma Dunes Mutual Water Company"
"396","Norco  City of"
"397","Oakdale  City of"
"398","Perris, City of"
"399","Pinedale County Water District"
"400","Porterville  City of"
"401","Redding  City of"
"402","Ripon  City of"
"403","Riverbank  City of"
"404","San Bernardino County Service Area 70"
"405","Sanger  City of"
"406","Shasta Lake  City of"
"407","Vallejo  City of"
"408","Winton Water & Sanitary District"
"409","Big Bear City Community Services District"
"410","Corcoran, City of"
"411","City of Newman Water Department"
"412","Coalinga City of"
